;AccidentUID;AccidentType;AccidentType_de;AccidentSeverityCategory_de;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;RoadType_de;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentWeekDay_de;AccidentHour;AccidentHour_text
676;1AF9C01604360052E0530A83942704E0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.426575863195026,9.376058519048705;SG;3203;St. Gallen;2015;6;2015-06;Juni;Donnerstag;8;08h-09h
679;9191B3DF8085B98DE05328B9D80AA3F6;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.42641945624738,9.37626494544911;SG;3203;St. Gallen;2019;8;2019-08;August;Donnerstag;17;17h-18h
694;A85E5BFEDCE00108E0430A8394270108;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.42193708322628,9.373158865848227;SG;3203;St. Gallen;2011;6;2011-06;Juni;Mittwoch;15;15h-16h
697;96B4BD98AF9ADF2DE05328B9D80AEDD8;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.417946898558675,9.35127513737529;SG;3203;St. Gallen;2019;9;2019-09;September;Sonntag;20;20h-21h
698;FC953169CA000134E0430A839427E78B;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.43050068985986,9.387166199548481;SG;3203;St. Gallen;2014;5;2014-05;Mai;Donnerstag;12;12h-13h
705;99061EE506D0C2B2E05329B9D80AE63F;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42709211338493,9.377999671767014;SG;3203;St. Gallen;2019;10;2019-10;Oktober;Dienstag;19;19h-20h
708;BDCC92D30ADE0002E0430A8394270002;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41603944423474,9.345294971631883;SG;3203;St. Gallen;2012;3;2012-03;März;Freitag;6;06h-07h
710;BC36DFD9634801DAE0430A83942701DA;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43530934674961,9.395430730916843;SG;3203;St. Gallen;2012;3;2012-03;März;Freitag;10;10h-11h
711;0ABD0A962E3C01C0E0530A8394275907;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42088287441442,9.373253113979814;SG;3203;St. Gallen;2014;11;2014-11;November;Dienstag;7;07h-08h
727;AB28DA7E9302009AE0430A839427009A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;True;Nebenstrasse;47.41366539571509,9.354474634748673;SG;3203;St. Gallen;2011;8;2011-08;August;Mittwoch;7;07h-08h
733;AE9399842BF10106E0430A8394270106;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.41720616262992,9.35742540115871;SG;3203;St. Gallen;2011;9;2011-09;September;Freitag;21;21h-22h
751;C4ABEFE7204B00E8E0430A839427CF14;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.44241105538003,9.410597928545261;SG;3203;St. Gallen;2012;6;2012-06;Juni;Dienstag;11;11h-12h
753;7659FE875374012EE0530A839427CEE1;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.42247242817975,9.369121838607269;SG;3203;St. Gallen;2018;6;2018-06;Juni;Samstag;7;07h-08h
762;F3C5B2EE77770070E0430A8394270D4E;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.4117544672008,9.367129489746336;SG;3203;St. Gallen;2014;1;2014-01;Januar;Dienstag;10;10h-11h
763;C5BAEDC66F6F015CE0430A839427FDA0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.430507965213245,9.37388142545175;SG;3203;St. Gallen;2012;6;2012-06;Juni;Donnerstag;21;21h-22h
773;78671E59FA000136E0530A839427A9AA;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42546667849111,9.372451946295795;SG;3203;St. Gallen;2018;8;2018-08;August;Montag;9;09h-10h
777;741996E9947701DCE0530A83942782FC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42720694557392,9.385083470633566;SG;3203;St. Gallen;2018;8;2018-08;August;Donnerstag;16;16h-17h
778;7AB03FCCA79DABD0E05328B9D80AD47F;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.40757277072409,9.302888335474227;SG;3203;St. Gallen;2018;8;2018-08;August;Sonntag;17;17h-18h
789;1D31EAA38B2F018EE0530A839427ECDE;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43548047699213,9.392228147735757;SG;3203;St. Gallen;2015;7;2015-07;Juli;Donnerstag;12;12h-13h
792;785494F56386013AE0530A8394276B98;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.436760029126326,9.387846242775229;SG;3203;St. Gallen;2018;9;2018-09;September;Donnerstag;17;17h-18h
807;EC3CC771432C0040E0430A839427B3B7;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41697666913378,9.364190470708179;SG;3203;St. Gallen;2013;11;2013-11;November;Montag;13;13h-14h
821;01FF9F60AEA00038E0530A8394277A4D;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42502268914227,9.37425204154054;SG;3203;St. Gallen;2014;7;2014-07;Juli;Sonntag;1;01h-02h
824;7CE3A6227E7F6359E05328B9D80AD8F2;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;andere;47.42177008532417,9.371310169178352;SG;3203;St. Gallen;2018;11;2018-11;November;Dienstag;9;09h-10h
828;7D701E5B04349BE2E05328B9D80A6FFC;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.408308155692346,9.329605085900054;SG;3203;St. Gallen;2018;11;2018-11;November;Samstag;12;12h-13h
834;7E9E6196FFCA7E22E05328B9D80AE147;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42536920014148,9.371825315862319;SG;3203;St. Gallen;2018;12;2018-12;Dezember;Montag;9;09h-10h
840;2585D9A8CF180050E0530A8394274F7A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.4184730032728,9.352646091714389;SG;3203;St. Gallen;2015;10;2015-10;Oktober;Samstag;17;17h-18h
843;7F2AB1C5F92FA9AEE05328B9D80A430A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43754465526765,9.406320125461656;SG;3203;St. Gallen;2018;12;2018-12;Dezember;Sonntag;2;02h-03h
853;267284552222016CE0530A8394277966;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41023794415107,9.331529083290881;SG;3203;St. Gallen;2015;11;2015-11;November;Mittwoch;15;15h-16h
