name;score;description;category;label;_geom;lat;lng
yHdargmXjn47LvHJWx3TQQ;19.744631803258866;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/yHdargmXjn47LvHJWx3TQQ""><img style=""width:200px"" src=""https://images.mapillary.com/yHdargmXjn47LvHJWx3TQQ/thumb-320.jpg""></a><br>Streetwise Score: 19.744631803258866";2;0;47.4358113,9.3974261;47.4358113;9.3974261
jgXPJixA12oe8OpFVcKtZQ;26.798168412604035;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/jgXPJixA12oe8OpFVcKtZQ""><img style=""width:200px"" src=""https://images.mapillary.com/jgXPJixA12oe8OpFVcKtZQ/thumb-320.jpg""></a><br>Streetwise Score: 26.798168412604035";2;0;47.4348118,9.3947397;47.4348118;9.3947397
JvrLmeBb_TSO2XZRcxBaKA;23.168413450269338;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/JvrLmeBb_TSO2XZRcxBaKA""><img style=""width:200px"" src=""https://images.mapillary.com/JvrLmeBb_TSO2XZRcxBaKA/thumb-320.jpg""></a><br>Streetwise Score: 23.168413450269338";2;0;47.43419,9.3930646;47.43419;9.3930646
Xd5KY43SHmScv3IZcWoCnQ;20.495997302892324;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/Xd5KY43SHmScv3IZcWoCnQ""><img style=""width:200px"" src=""https://images.mapillary.com/Xd5KY43SHmScv3IZcWoCnQ/thumb-320.jpg""></a><br>Streetwise Score: 20.495997302892324";2;0;47.4338928,9.3918726;47.4338928;9.3918726
Y4ZDaHyeOauz0yX0_7n6Ng;25.850143317274835;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/Y4ZDaHyeOauz0yX0_7n6Ng""><img style=""width:200px"" src=""https://images.mapillary.com/Y4ZDaHyeOauz0yX0_7n6Ng/thumb-320.jpg""></a><br>Streetwise Score: 25.850143317274835";2;0;47.4334149,9.3888832;47.4334149;9.3888832
mBXbkKK5XzQRuiNdIkjnZQ;19.562194649169545;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/mBXbkKK5XzQRuiNdIkjnZQ""><img style=""width:200px"" src=""https://images.mapillary.com/mBXbkKK5XzQRuiNdIkjnZQ/thumb-320.jpg""></a><br>Streetwise Score: 19.562194649169545";2;0;47.4333316,9.3882804;47.4333316;9.3882804
iGfLBX_okm5VnXGhI9ejhA;24.38401434504061;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/iGfLBX_okm5VnXGhI9ejhA""><img style=""width:200px"" src=""https://images.mapillary.com/iGfLBX_okm5VnXGhI9ejhA/thumb-320.jpg""></a><br>Streetwise Score: 24.38401434504061";2;0;47.4332371,9.3870778;47.4332371;9.3870778
5FplGuVSMCNhycnbKNNMmQ;29.827106810007223;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/5FplGuVSMCNhycnbKNNMmQ""><img style=""width:200px"" src=""https://images.mapillary.com/5FplGuVSMCNhycnbKNNMmQ/thumb-320.jpg""></a><br>Streetwise Score: 29.827106810007223";3;+;47.432766,9.3840284;47.432766;9.3840284
07hquweZGU9iSbykq0PexQ;25.231954675111258;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/07hquweZGU9iSbykq0PexQ""><img style=""width:200px"" src=""https://images.mapillary.com/07hquweZGU9iSbykq0PexQ/thumb-320.jpg""></a><br>Streetwise Score: 25.231954675111258";2;0;47.4591906,9.434832;47.4591906;9.434832
u4ZMLy3av9K4lKQLOFx1UQ;17.11011877611449;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/u4ZMLy3av9K4lKQLOFx1UQ""><img style=""width:200px"" src=""https://images.mapillary.com/u4ZMLy3av9K4lKQLOFx1UQ/thumb-320.jpg""></a><br>Streetwise Score: 17.11011877611449";1;-;47.4561176,9.4310061;47.4561176;9.4310061
-haMBhz3wWwStXLgJ6AifA;15.079396181758275;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/-haMBhz3wWwStXLgJ6AifA""><img style=""width:200px"" src=""https://images.mapillary.com/-haMBhz3wWwStXLgJ6AifA/thumb-320.jpg""></a><br>Streetwise Score: 15.079396181758275";1;-;47.4557689,9.4304549;47.4557689;9.4304549
gO-dG6OSk838_VfBmzJolA;17.93798489235866;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/gO-dG6OSk838_VfBmzJolA""><img style=""width:200px"" src=""https://images.mapillary.com/gO-dG6OSk838_VfBmzJolA/thumb-320.jpg""></a><br>Streetwise Score: 17.93798489235866";1;-;47.4529328,9.4259489;47.4529328;9.4259489
yP1z_sTruS5L5lPq857UVA;26.2668145906405;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/yP1z_sTruS5L5lPq857UVA""><img style=""width:200px"" src=""https://images.mapillary.com/yP1z_sTruS5L5lPq857UVA/thumb-320.jpg""></a><br>Streetwise Score: 26.2668145906405";2;0;47.4503028,9.4225937;47.4503028;9.4225937
Qsx6oZj8gIZwZh_3QvXpdA;19.174538400593455;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/Qsx6oZj8gIZwZh_3QvXpdA""><img style=""width:200px"" src=""https://images.mapillary.com/Qsx6oZj8gIZwZh_3QvXpdA/thumb-320.jpg""></a><br>Streetwise Score: 19.174538400593455";2;0;47.4499224,9.4221841;47.4499224;9.4221841
6zdpek7xkQvsM4DA3lSFHA;34.09249355726099;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/6zdpek7xkQvsM4DA3lSFHA""><img style=""width:200px"" src=""https://images.mapillary.com/6zdpek7xkQvsM4DA3lSFHA/thumb-320.jpg""></a><br>Streetwise Score: 34.09249355726099";3;+;47.4483734,9.4208343;47.4483734;9.4208343
dxz3mHSVjsfO19p5bhJY0A;12.932215358352998;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/dxz3mHSVjsfO19p5bhJY0A""><img style=""width:200px"" src=""https://images.mapillary.com/dxz3mHSVjsfO19p5bhJY0A/thumb-320.jpg""></a><br>Streetwise Score: 12.932215358352998";1;-;47.4459383,9.4192785;47.4459383;9.4192785
11QKVhDv-z7aaAdmEboSgg;20.715465840676778;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/11QKVhDv-z7aaAdmEboSgg""><img style=""width:200px"" src=""https://images.mapillary.com/11QKVhDv-z7aaAdmEboSgg/thumb-320.jpg""></a><br>Streetwise Score: 20.715465840676778";2;0;47.4435921,9.4180223;47.4435921;9.4180223
Gi8q5SW6c47vXn5sywSzjw;21.57769195260589;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/Gi8q5SW6c47vXn5sywSzjw""><img style=""width:200px"" src=""https://images.mapillary.com/Gi8q5SW6c47vXn5sywSzjw/thumb-320.jpg""></a><br>Streetwise Score: 21.57769195260589";2;0;47.4400557,9.4153132;47.4400557;9.4153132
sQn2-9y2LHn5bO6AdMEFaQ;26.638436806297186;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/sQn2-9y2LHn5bO6AdMEFaQ""><img style=""width:200px"" src=""https://images.mapillary.com/sQn2-9y2LHn5bO6AdMEFaQ/thumb-320.jpg""></a><br>Streetwise Score: 26.638436806297186";2;0;47.4398063,9.4148609;47.4398063;9.4148609
zWmMq_VMxf2vldBjb0xSPw;26.217252373099406;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/zWmMq_VMxf2vldBjb0xSPw""><img style=""width:200px"" src=""https://images.mapillary.com/zWmMq_VMxf2vldBjb0xSPw/thumb-320.jpg""></a><br>Streetwise Score: 26.217252373099406";2;0;47.4392438,9.4133212;47.4392438;9.4133212
XBxSo00DiaPDvAMc5aFCxA;26.00611813269546;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/XBxSo00DiaPDvAMc5aFCxA""><img style=""width:200px"" src=""https://images.mapillary.com/XBxSo00DiaPDvAMc5aFCxA/thumb-320.jpg""></a><br>Streetwise Score: 26.00611813269546";2;0;47.4389345,9.4114783;47.4389345;9.4114783
p0FDctdyFlDSay6RTToHBw;21.69382330998774;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/p0FDctdyFlDSay6RTToHBw""><img style=""width:200px"" src=""https://images.mapillary.com/p0FDctdyFlDSay6RTToHBw/thumb-320.jpg""></a><br>Streetwise Score: 21.69382330998774";2;0;47.4353036,9.3959778;47.4353036;9.3959778
msJDBFj7OoBE5Vbtzr6h8A;13.168378111205687;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/msJDBFj7OoBE5Vbtzr6h8A""><img style=""width:200px"" src=""https://images.mapillary.com/msJDBFj7OoBE5Vbtzr6h8A/thumb-320.jpg""></a><br>Streetwise Score: 13.168378111205687";1;-;47.4344657,9.3940226;47.4344657;9.3940226
cIwqzANOQ5BY7HeGuTNd2w;27.334042313021587;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/cIwqzANOQ5BY7HeGuTNd2w""><img style=""width:200px"" src=""https://images.mapillary.com/cIwqzANOQ5BY7HeGuTNd2w/thumb-320.jpg""></a><br>Streetwise Score: 27.334042313021587";2;0;47.4339739,9.3923798;47.4339739;9.3923798
E7V2Kc1bCSF41v_Wj2-5_g;32.13847980703714;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/E7V2Kc1bCSF41v_Wj2-5_g""><img style=""width:200px"" src=""https://images.mapillary.com/E7V2Kc1bCSF41v_Wj2-5_g/thumb-320.jpg""></a><br>Streetwise Score: 32.13847980703714";3;+;47.4332224,9.3864738;47.4332224;9.3864738
aoQxhb1SXc0aLUeE2ej-2Q;12.097413264964729;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/aoQxhb1SXc0aLUeE2ej-2Q""><img style=""width:200px"" src=""https://images.mapillary.com/aoQxhb1SXc0aLUeE2ej-2Q/thumb-320.jpg""></a><br>Streetwise Score: 12.097413264964729";1;-;47.4319425,9.3766468;47.4319425;9.3766468
S7uSGl3UMnFMg023mjhQoQ;10.71755426097177;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/S7uSGl3UMnFMg023mjhQoQ""><img style=""width:200px"" src=""https://images.mapillary.com/S7uSGl3UMnFMg023mjhQoQ/thumb-320.jpg""></a><br>Streetwise Score: 10.71755426097177";1;-;47.4318116,9.3754626;47.4318116;9.3754626
lNm2GqP5qFTe1D5iJVWZIA;14.252797066420317;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/lNm2GqP5qFTe1D5iJVWZIA""><img style=""width:200px"" src=""https://images.mapillary.com/lNm2GqP5qFTe1D5iJVWZIA/thumb-320.jpg""></a><br>Streetwise Score: 14.252797066420317";1;-;47.4308531,9.366792;47.4308531;9.366792
IMLH5FCG4CRnJe8_gejHYQ;2.602627558920083;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/IMLH5FCG4CRnJe8_gejHYQ""><img style=""width:200px"" src=""https://images.mapillary.com/IMLH5FCG4CRnJe8_gejHYQ/thumb-320.jpg""></a><br>Streetwise Score: 2.602627558920083";0;wahrgenommene Sicherheit tief;47.4231344,9.3686158;47.4231344;9.3686158
PkZwOBRxPEbOI4_WwSLMGw;25.9349415927192;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/PkZwOBRxPEbOI4_WwSLMGw""><img style=""width:200px"" src=""https://images.mapillary.com/PkZwOBRxPEbOI4_WwSLMGw/thumb-320.jpg""></a><br>Streetwise Score: 25.9349415927192";2;0;47.4234054,9.3702865;47.4234054;9.3702865
_-ZaAduJ4wMGL_HA475fsA;45.50354689298672;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/_-ZaAduJ4wMGL_HA475fsA""><img style=""width:200px"" src=""https://images.mapillary.com/_-ZaAduJ4wMGL_HA475fsA/thumb-320.jpg""></a><br>Streetwise Score: 45.50354689298672";4;wahrgenommene Sicherheit hoch;47.4316628,9.3816109;47.4316628;9.3816109
Pg0S0vrgukCERSeNX4kDfA;42.60237639920803;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/Pg0S0vrgukCERSeNX4kDfA""><img style=""width:200px"" src=""https://images.mapillary.com/Pg0S0vrgukCERSeNX4kDfA/thumb-320.jpg""></a><br>Streetwise Score: 42.60237639920803";4;wahrgenommene Sicherheit hoch;47.4270182,9.3815867;47.4270182;9.3815867
voPYX44ufSCwYnENXfUNFw;44.128339582267756;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/voPYX44ufSCwYnENXfUNFw""><img style=""width:200px"" src=""https://images.mapillary.com/voPYX44ufSCwYnENXfUNFw/thumb-320.jpg""></a><br>Streetwise Score: 44.128339582267756";4;wahrgenommene Sicherheit hoch;47.4270819,9.3817846;47.4270819;9.3817846
7asUiQHEj300Wq7jd_hJpg;48.48219849428812;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/7asUiQHEj300Wq7jd_hJpg""><img style=""width:200px"" src=""https://images.mapillary.com/7asUiQHEj300Wq7jd_hJpg/thumb-320.jpg""></a><br>Streetwise Score: 48.48219849428812";4;wahrgenommene Sicherheit hoch;47.4270802,9.3818021;47.4270802;9.3818021
SoyFtYq3A9qOthbs6ywn_w;46.74270382084397;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/SoyFtYq3A9qOthbs6ywn_w""><img style=""width:200px"" src=""https://images.mapillary.com/SoyFtYq3A9qOthbs6ywn_w/thumb-320.jpg""></a><br>Streetwise Score: 46.74270382084397";4;wahrgenommene Sicherheit hoch;47.4272488,9.3819352;47.4272488;9.3819352
yECVWGG6WDq1cdCVPy19bQ;46.530062937799;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/yECVWGG6WDq1cdCVPy19bQ""><img style=""width:200px"" src=""https://images.mapillary.com/yECVWGG6WDq1cdCVPy19bQ/thumb-320.jpg""></a><br>Streetwise Score: 46.530062937799";4;wahrgenommene Sicherheit hoch;47.4273129,9.3819495;47.4273129;9.3819495
