Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.429026966009864,9.381819820712112;"{""coordinates"": [9.381819820712112, 47.429026966009864], ""type"": ""Point""}";;Stadtverwaltung;Stadtarchiv;;;;;;Notkerstrasse 22;St.Gallen;Schweiz;;;;+41712246223;;;9000
47.42532684191481,9.37543258717347;"{""coordinates"": [9.37543258717347, 47.42532684191481], ""type"": ""Point""}";bedingt behindertengerecht;Stadtverwaltung;Stadtplanung;;Amtshaus;;;;Neugasse 3;St.Gallen;Schweiz;;;Lifttüre 80cm breit;+41712245660;;;9004
47.4200954156184,9.367173686025815;"{""coordinates"": [9.367173686025815, 47.4200954156184], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Stadtpolizei;;;;;;Vadianstrasse 57;St.Gallen;Schweiz;;;WC hindernisfrei;+41712246000;;;9001
47.42322914093009,9.372810378109946;"{""coordinates"": [9.372810378109946, 47.42322914093009], ""type"": ""Point""}";nicht behindertengerecht;Stadtverwaltung;St.Galler Stadtwerke Geschäftsleitung und Verwaltung;;;;;;St.Leonhard-Strasse 15;St.Gallen;Schweiz;;;;+41712245618;;;9001
47.42260757777221,9.373383222186607;"{""coordinates"": [9.373383222186607, 47.42260757777221], ""type"": ""Point""}";;Stadtverwaltung;St.Galler Stadtwerke Elektrizität;;;;;;Sonnengartenstrasse 6;St.Gallen;Schweiz;;;;+41712245528;;;9001
47.42322914093009,9.372810378109946;"{""coordinates"": [9.372810378109946, 47.42322914093009], ""type"": ""Point""}";nicht behindertengerecht;Stadtverwaltung;St.Galler Stadtwerke Fernwärme;;;;;;St.Leonhard-Strasse 15;St.Gallen;Schweiz;;;;+41712245538;;;9001
47.42322914992148,9.372810378436673;"{""coordinates"": [9.372810378436673, 47.42322914992148], ""type"": ""Point""}";nicht behindertengerecht;Stadtverwaltung;St.Galler Stadtwerke Erdgas;;;;;;St.Leonhard-Strasse 15;St.Gallen;Schweiz;;;;+41712245538;;;9001
47.41864590361637,9.347762746447273;"{""coordinates"": [9.347762746447273, 47.41864590361637], ""type"": ""Point""}";;Stadtverwaltung;Strasseninspektorat;;;;;;Sömmerliwaldstrasse 7;St.Gallen;Schweiz;;;;+41712246920;;;9013
47.42305320733365,9.370780082120524;"{""coordinates"": [9.370780082120524, 47.42305320733365], ""type"": ""Point""}";;Stadtverwaltung;KESB Region St.Gallen;;;;;;Bahnhofplatz 1;St.Gallen;Schweiz;;;;+41712245477;;;9001
47.423229149699715,9.37281039168527;"{""coordinates"": [9.37281039168527, 47.423229149699715], ""type"": ""Point""}";nicht behindertengerecht;Stadtverwaltung;Direktion Technische Betriebe;;;;;;St.Leonhard-Strasse 15;St.Gallen;Schweiz;;;;+41712245511;;;9001
47.42143890949651,9.364993025896055;"{""coordinates"": [9.364993025896055, 47.42143890949651], ""type"": ""Point""}";;Stadtverwaltung;VRSG;;;;;;St.Leonhard-Strasse 80;St.Gallen;Schweiz;;;;+41712268300;;;9001
47.41941783708963,9.346649837873587;"{""coordinates"": [9.346649837873587, 47.41941783708963], ""type"": ""Point""}";;Stadtverwaltung;Werkhof Waldau;;;;;;Sömmerliwaldstrasse 7;St.Gallen;Schweiz;;;;+41712246902;;;9013
47.43260004962893,9.387016919396721;"{""coordinates"": [9.387016919396721, 47.43260004962893], ""type"": ""Point""}";;Stadtverwaltung;Werkhof Wiedacker;;;;;;Steinachstrasse 93;St.Gallen;Schweiz;;;;+41712246450;;;9000
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";;Stadtverwaltung;Wohnungsamt;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;"Dienstag: 08.30 – 17.00 Uhr; Donnerstag: 13.30 – 18.00 Uhr";;;+41712245628;;;9001
47.42429599779029,9.375609428665381;"{""coordinates"": [9.375609428665381, 47.42429599779029], ""type"": ""Point""}";bedingt behindertengerecht;Restaurant;Roggwiller;;Konditorei-Café;;;;Multergasse 17;St.Gallen;Schweiz;;;keine Behindertentoilette, beim Laden muss eine kleine Erhöhung von 5-7cm überwunden werden;;;;9000
47.4196242830356,9.367725355511642;"{""coordinates"": [9.367725355511642, 47.4196242830356], ""type"": ""Point""}";;Kantonale Verwaltung;Finanzdepartement;;;;;;Davidstrasse 35;St.Gallen;Schweiz;Mo - Fr: 7:30 - 12:00 Uhr, 13:30 - 17:00 Uhr;;;+41582293285;;;9000
47.4196242830356,9.367725355511642;"{""coordinates"": [9.367725355511642, 47.4196242830356], ""type"": ""Point""}";;Kantonale Verwaltung;Finanzkontrolle;;;;;;Davidstrasse 35;St.Gallen;Schweiz;;;;+41582293292;;;9000
47.419486642779745,9.368376134891871;"{""coordinates"": [9.368376134891871, 47.419486642779745], ""type"": ""Point""}";;Kantonale Verwaltung;Amt für Wirtschaft und Arbeit;;Arbeitslosenversicherung;;;;Unterstrasse 22;St.Gallen;Schweiz;;;;+41582293560;;;9000
47.42371185897822,9.378288293059194;"{""coordinates"": [9.378288293059194, 47.42371185897822], ""type"": ""Point""}";;Kantonale Verwaltung;Legalisationen (Kanton);;Regierungsgebäude;;;;Klosterhof 3;St.Gallen;Schweiz;Mo - Fr: 8:00 - 11:30 Uhr, 14:00 - 17:00 Uhr;;;+41582293790;;;9001
47.42469033301645,9.37811708719258;"{""coordinates"": [9.37811708719258, 47.42469033301645], ""type"": ""Point""}";nicht behindertengerecht;Kantonale Verwaltung;Jugendanwaltschaft;;;;;;Spisergasse 22;St.Gallen;Schweiz;;;keine behindertengerechte Toilette;+41582293710;;;9000
47.42667023827845,9.376362900794096;"{""coordinates"": [9.376362900794096, 47.42667023827845], ""type"": ""Point""}";bedingt behindertengerecht;Kantonale Verwaltung;Kreisgericht;;;;;;Bohl 1;St.Gallen;Schweiz;Mo - Fr: 8:00 - 11:30 Uhr, 14:00 - 17:00 Uhr;;keine behindertengerechte Toilette;+41582290600;;;9000
47.4261415657537,9.382845946596206;"{""coordinates"": [9.382845946596206, 47.4261415657537], ""type"": ""Point""}";;Kantonale Verwaltung;Amt für Umwelt (AFU);;;;;;Lämmlisbrunnenstrasse 54;St.Gallen;Schweiz;;;;+41582293088;;;9001
47.436751299560996,9.404817503200698;"{""coordinates"": [9.404817503200698, 47.436751299560996], ""type"": ""Point""}";;Restaurant;Saray Pizza Kebab;;;;;;Rorschacher Strasse 243;St.Gallen;Schweiz;;;;;;;9016
47.42781623288372,9.377322941317495;"{""coordinates"": [9.377322941317495, 47.42781623288372], ""type"": ""Point""}";;Bar, Dancing, Disco;Brüw;;;;;;Torstrasse 25;St.Gallen;Schweiz;;;;;;;9000
47.42335302361203,9.369928245920612;"{""coordinates"": [9.369928245920612, 47.42335302361203], ""type"": ""Point""}";;Restaurant;DUNKIN' DONUTS;;Restaurant/Café;;;;Bahnhofplatz 2;St.Gallen;Schweiz;;;;;;;9000
47.42433240115108,9.376592445057756;"{""coordinates"": [9.376592445057756, 47.42433240115108], ""type"": ""Point""}";;Restaurant;La Follia;;;;;;Schmiedgasse 1;St.Gallen;Schweiz;;;;;;;9000
47.424920491427265,9.377253181922516;"{""coordinates"": [9.377253181922516, 47.424920491427265], ""type"": ""Point""}";bedingt behindertengerecht;Restaurant;Bierfalken;;;;;;Spisergasse 9a;St.Gallen;Schweiz;;;keine behindertengerechte Toilette;;;;9004
47.42378267198839,9.36868718329523;"{""coordinates"": [9.36868718329523, 47.42378267198839], ""type"": ""Point""}";;Restaurant;PERRONNORD;;;;;;Rosenbergstrasse 48;St.Gallen;Schweiz;;;;;;;9000
47.424680961677744,9.378818508354314;"{""coordinates"": [9.378818508354314, 47.424680961677744], ""type"": ""Point""}";;Bar, Dancing, Disco;Birreria;;;;;;Brühlgasse 45;St.Gallen;Schweiz;;;;;;;9000
47.43556273880374,9.40195549239442;"{""coordinates"": [9.40195549239442, 47.43556273880374], ""type"": ""Point""}";;Restaurant;Blume;;;;;;Brauerstrasse 27;St.Gallen;Schweiz;;;;;;;9000
47.435565644382024,9.386606975548224;"{""coordinates"": [9.386606975548224, 47.435565644382024], ""type"": ""Point""}";;Restaurant;Derby;;Restaurant/Café;;;;Langgasse 26;St.Gallen;Schweiz;;;;;;;9008
47.40158246558413,9.300982150208455;"{""coordinates"": [9.300982150208455, 47.40158246558413], ""type"": ""Point""}";;Restaurant;Della Torre;;Pizzeria;;;;Herisauer Strasse 88;St.Gallen;Schweiz;;;;;;;9015
47.42226931092048,9.377154874263804;"{""coordinates"": [9.377154874263804, 47.42226931092048], ""type"": ""Point""}";;Restaurant;drahtseilbähnli;;;;;;St.Georgen-Strasse 3;St.Gallen;Schweiz;;;;;;;9000
47.43893629482009,9.395231659596435;"{""coordinates"": [9.395231659596435, 47.43893629482009], ""type"": ""Point""}";;Restaurant;Espenmoos;;Vereinsrestaurant;;;;Heiligkreuzstrasse 30;St.Gallen;Schweiz;;;;;;;9008
